order_id,customer_id,customer_name,email,age,gender,city,region,category,sales,quantity,discount,profit,join_date
ORD1001,CUST101,Rohan Mishra,rohan.mishra28@email.com,33,,Delhi,North,Electronics,2179.12,4,0.27,851.38,2021-09-20
ORD1002,CUST124,Ananya Mishra,ananya.mishra98@email.com,62,Male,Bhopal,Central,Furniture,3384.57,19,0.11,1279.76,2022-02-03
ORD1003,CUST145,Suresh Gupta,suresh.gupta80@email.com,56,Other,Chandigarh,North,Books,12126.21,15,0.21,5277.49,2022-10-07
ORD1004,CUST110,Neha Iyer,neha.iyer35@email.com,36,Other,Delhi,North,Furniture,12844.23,4,0.15,1918.62,2020-10-21
ORD1005,CUST136,Priya Nair,priya.nair52@email.com,47,Female,Indore,Central,Toys,4122.22,18,0.09,323.0,2022-02-07
ORD1005,CUST136,Priya Nair,priya.nair52@email.com,47,Female,Indore,Central,Toys,4122.22,18,0.09,323.0,2022-02-07
ORD1007,CUST148,Rajesh Kumar,rajesh.kumar88@email.com,28,Male,Delhi,North,Books,8986.49,13,0.15,4024.75,2020-11-18
ORD1008,CUST109,Amit Iyer,amit.iyer39@email.com,36,Other,Patna,East,Books,2456.55,1,0.38,937.71,2024-10-07
ORD1009,CUST104,Pooja Nair,pooja.nair11@email.com,51,Other,Kolkata,East,Electronics,9024.27,16,0.01,3709.01,2020-12-16
ORD1010,CUST128,Sonia Mehta,sonia.mehta84@email.com,48,Other,Bhopal,Central,Grocery,4049.34,20,0.17,66.77,2022-08-17
ORD1011,CUST117,Arun Patel,arun.patel43@email.com,,Male,Delhi,North,Clothing,8865.8,8,0.24,-851.52,2020-09-08
ORD1012,CUST141,Sneha Mishra,sneha.mishra94@email.com,64,Female,Mumbai,West,Furniture,3720.66,16,0.32,17.58,2020-11-21
ORD1013,CUST141,Ananya Kumar,ananya.kumar57@email.com,39,Male,Delhi,North,Sports,3804.98,7,0.21,-87.13,2024-02-02
ORD1014,CUST127,Priya Iyer,priya.iyer50@email.com,33,,Bhopal,Central,Sports,6155.57,16,0.09,742.19,2022-08-10
ORD1015,CUST132,Swati Verma,swati.verma65@email.com,27,Female,Indore,Central,Electronics,4520.95,2,0.23,896.09,2024-03-02
ORD1015,CUST132,Swati Verma,swati.verma65@email.com,27,Female,Indore,Central,Electronics,4520.95,2,0.23,896.09,2024-03-02
ORD1017,CUST115,Deepak Reddy,deepak.reddy34@email.com,26,Other,Kolkata,East,Electronics,6912.65,3,0.0,1670.36,2021-06-03
ORD1018,CUST118,Pooja Reddy,pooja.reddy96@email.com,52,Male,Bhubaneswar,East,Clothing,9214.0,17,0.0,3219.44,2024-03-09
ORD1019,CUST110,Rohan Mishra,rohan.mishra43@email.com,31,Male,Bhopal,Central,Toys,7630.59,9,0.36,2787.89,2021-11-09
ORD1020,CUST143,Deepak Singh,deepak.singh47@email.com,53,Female,Ahmedabad,West,Sports,1766.92,5,0.22,634.37,2020-06-07
ORD1021,CUST142,Ananya Iyer,ananya.iyer95@email.com,53,,Hyderabad,South,Sports,14610.17,5,0.37,441.31,2022-07-26
ORD1022,CUST125,Arjun Joshi,arjun.joshi29@email.com,62,Male,Bengaluru,South,Furniture,5799.87,2,0.34,129.56,2020-11-07
ORD1023,CUST106,Rahul Sharma,rahul.sharma23@email.com,35,Female,Bhubaneswar,East,Electronics,9658.08,13,0.27,3515.67,2024-05-02
ORD1024,CUST147,Karan Kumar,karan.kumar67@email.com,38,Male,Nagpur,Central,Electronics,9132.51,17,0.05,3604.85,2024-11-24
ORD1025,CUST142,Pooja Mishra,pooja.mishra71@email.com,60,Female,Bengaluru,South,Furniture,9385.02,4,0.29,611.69,2021-04-14
ORD1026,CUST150,Deepak Verma,deepak.verma28@email.com,29,Other,Ahmedabad,West,Sports,6150.52,1,0.12,95.95,2024-08-26
ORD1027,CUST140,Karan Singh,karan.singh79@email.com,50,Female,Hyderabad,South,Electronics,1491.47,8,0.27,35.13,2020-08-14
ORD1028,CUST115,Sneha Mishra,sneha.mishra67@email.com,42,Other,Bhopal,Central,Clothing,6054.83,5,0.26,-587.02,2023-01-18
ORD1029,CUST148,Rajesh Mishra,rajesh.mishra21@email.com,47,Female,Chandigarh,North,Toys,14255.59,15,0.25,4213.96,2023-08-09
ORD1030,CUST124,Divya Kumar,divya.kumar11@email.com,51,Other,Hyderabad,South,Furniture,9438.55,9,0.18,2760.3,2021-03-08
ORD1031,CUST100,Kavya Rao,kavya.rao3@email.com,44,Other,Hyderabad,South,Toys,,15,0.17,69.21,2024-07-16
ORD1032,CUST125,Rahul Rao,rahul.rao17@email.com,44,Female,Bhubaneswar,East,Grocery,7374.62,9,0.17,-619.74,2024-09-01
ORD1033,CUST105,Rahul Mehta,rahul.mehta36@email.com,23,Female,Indore,Central,Sports,2121.92,15,0.07,91.42,2023-05-27
ORD1034,CUST142,Aarav Nair,aarav.nair20@email.com,21,Other,Mumbai,West,Clothing,3440.91,3,0.31,889.36,2021-03-16
ORD1035,CUST136,Arun Reddy,arun.reddy14@email.com,47,Female,Lucknow,North,Toys,11526.78,6,0.24,4957.14,2024-01-10
